symbol,provider,published_at,headline,url,source,summary,raw_id
MKDW,polygon,2026-01-02T22:00:00Z,MKDW repurchased approximately $7 million worth of its outstanding ordinary shares.,https://www.globenewswire.com/news-release/2026/01/02/3212303/0/en/MKDW-repurchased-approximately-7-million-worth-of-its-outstanding-ordinary-shares.html,GlobeNewswire Inc.,"MKDWELL Tech Inc. (NASDAQ: MKDW), an automotive electronics manufacturer, announced a stock repurchase agreement to buy back 34.58 million ordinary shares at $0.203 per share for approximately $7 million. The company's CEO stated the repurchase aims to protect shareholder value amid undervalued share prices, while acknowledging challenges from macroeconomic volatility and new US tariffs.",82581f8a8e253e1fa3f80b9471e8564de2197632918e83a86e60922c72d2d0e6
SMR,polygon,2026-01-04T21:37:00Z,Could Buying Fluor Today Set You Up for Life?,https://www.fool.com/investing/2026/01/04/could-buying-fluor-today-set-you-up-for-life/?source=iedfolrf0000001,The Motley Fool,"Fluor, an engineering and construction company, has shifted 82% of its backlog to reimbursable contracts to improve cash flow consistency. However, the inherent cyclicality of the construction industry limits long-term reliability. While Fluor's stake in nuclear startup NuScale Power presents an interesting opportunity, the volatile NuScale stock and one-time nature of the stake sale make Fluor unsuitable for most long-term investors seeking stability.",dbbe7086ff21593b244e64237d8b1e83c72189662d131273a29541565dcf2180
SMR,polygon,2026-01-04T20:46:08Z,"How Trump Moved Stocks in 2025: Nuclear, Space, Quantum Sectors",https://www.benzinga.com/trading-ideas/movers/26/01/49682291/how-trump-moved-stocks-in-2025-nuclear-space-quantum-sectors?utm_source=benzinga_taxonomy&utm_medium=rss_feed_free&utm_content=taxonomy_rss&utm_campaign=channel,Benzinga,"President Trump's 2025 executive orders transformed nuclear, space, and quantum sectors into national priorities through regulatory streamlining and state support. Nuclear stocks surged following May orders to accelerate reactor licensing, space companies rallied from $450B to $1.3T market cap on commercial space mandates, and quantum firms benefited from research prioritization and foreign acquisition restrictions despite mid-year volatility.",c38742b2207c03e6795aaf9b5832a07a30615f441f8df6f2f17ee88f9f252a9a
UAVS,polygon,2026-01-02T13:00:00Z,EagleNXT Announces Successful Drone and Sensor Sale to U.S. Army,https://www.globenewswire.com/news-release/2026/01/02/3212124/0/en/EagleNXT-Announces-Successful-Drone-and-Sensor-Sale-to-U-S-Army.html,GlobeNewswire Inc.,"EagleNXT (NYSE: UAVS) announced the successful sale of six eBee TAC tactical mapping drones equipped with S.O.D.A. 3D and Duet M sensors to the U.S. Army through European partner Dronivo GmbH. The drones feature centimeter-level accuracy via RTK/PPK capabilities and 90-minute endurance, designed for tactical mapping, border surveillance, and intelligence gathering missions.",cf2b422cb1e3fa633a52305e21a3fec739926960c46d4b853cc5bfc459ee993e
OTLK,polygon,2026-01-02T10:12:53Z,"Stock Market Today: S&P 500, Dow Futures Gain On The First Trading Day Of 2026— Baidu, Rubico, Intelligent Bio Solutions In Focus",https://www.benzinga.com/markets/equities/26/01/49662968/stock-market-today-sp-500-dow-futures-gain-on-the-first-trading-day-of-2026-baidu-rubico-intelli?utm_source=benzinga_taxonomy&utm_medium=rss_feed_free&utm_content=taxonomy_rss&utm_campaign=channel,Benzinga,"U.S. stock futures rose on the first trading day of 2026, with the S&P 500 and Nasdaq 100 gaining in premarket trading. Key movers included Baidu jumping 12.2% on a spinoff announcement, Rubico surging 16.8% following an acquisition deal, while Outlook Therapeutics plummeted 56.5% after an FDA rejection and Intelligent Bio Solutions dropped 23.4% on a private placement announcement. Analysts predict modest 3-5% gains for 2026 after a record-breaking 2025.",a575a46a311edffab24d3b77b74e3a2b393a52519c37fe11d53a396125b0a079
NIO,polygon,2026-01-02T10:34:49Z,Tesla Rival Nio Caps 2025 With Record Deliveries,https://www.benzinga.com/trading-ideas/movers/26/01/49663066/tesla-rival-nio-caps-2025-with-record-deliveries?utm_source=benzinga_taxonomy&utm_medium=rss_feed_free&utm_content=taxonomy_rss&utm_campaign=channel,Benzinga,"Chinese EV maker Nio reported record December 2025 deliveries of 48,135 vehicles (up 54.6% YoY) and full-year deliveries of 326,028 units (up 46.9% YoY), approaching 1 million cumulative deliveries. Competitors Li Auto and XPeng also posted strong December results, with XPeng achieving 126% YoY growth for 2025.",b1b127ef7f5a3c1e2b95911481f81eec73ea12874276a625ce944c829ecca295
PLTR,polygon,2026-01-04T23:10:00Z,My Top 5 Stock Market Predictions for 2026,https://www.fool.com/investing/2026/01/04/my-top-5-stock-market-predictions-for-2026/?source=iedfolrf0000001,The Motley Fool,"The author predicts that in 2026, AI stocks will face increased scrutiny for profitability rather than hype-driven gains, while the S&P 500 will be driven by diversification into other sectors like pharmaceuticals and consumer goods. Dividend stocks are expected to gain attention, valuations may normalize from historically high levels, and quantum computing presents long-term growth opportunities for patient investors.",22430e062689059e4378e6272b700ac038a553d16e3c8e7ead1011686bb10514
PLTR,polygon,2026-01-04T10:35:00Z,My 3 Favorite Artificial Intelligence Stocks to Buy Right Now,https://www.fool.com/investing/2026/01/04/my-3-favorite-artificial-intelligence-stocks-to/?source=iedfolrf0000001,The Motley Fool,"The article highlights three AI stocks as investment opportunities: Palantir Technologies, which has surged 960% since January 2024 with its AI Platform securing diverse government and commercial clients; SoundHound AI, a voice recognition AI company scaling rapidly with 68% revenue growth and up 141% in 2025; and Tesla, which extends beyond EVs with significant AI investments in self-driving software and the Optimus humanoid robot project.",0f3b7b3784033949f81e3aa48c4bd06cd28258ab7dfaed39a9acc4ffd5464590
PLTR,polygon,2026-01-04T09:30:00Z,The S&P 500's Best Stock in 2025 May Soar in 2026 as the Artificial Intelligence (AI) Boom Continues (Hint: Not Palantir),https://www.fool.com/investing/2026/01/04/sp-500-best-stock-may-soar-2026-ai-boom-palantir/?source=iedfolrf0000001,The Motley Fool,"SanDisk led the S&P 500 in 2025 with a 559% gain following its spin-off from Western Digital, driven by strong AI infrastructure demand for data storage. Historically, the top-performing S&P 500 stock in any given year returns an average of 78% the following year. However, Wall Street expects only 4% upside for SanDisk in 2026 as the NAND flash memory cycle may be peaking, with potential supply gluts ahead. The author recommends Pure Storage as a better alternative with 45% upside potential.",4b8abe55c6218b82b13c17e66d9ded1c591cd9969935869b12d563f7fb00ea80
PLTR,polygon,2026-01-04T08:15:00Z,"Down 10%, Should You Buy the Dip on Palantir?",https://www.fool.com/investing/2026/01/04/down-10-should-you-buy-the-dip-on-palantir/?source=iedfolrf0000001,The Motley Fool,"Palantir Technologies stock has declined 10% from all-time highs as AI companies faced downward pressure in Q4 2025. Despite high valuations (P/E of 254, P/S of 99), the company demonstrates exceptional growth with 63% YoY revenue increase, 40% profit margins, and signing over one $1M+ deal per day. The author argues Palantir's AI Platform (AIP) is a game-changer similar to Amazon's early growth phase, making it a buy ahead of February earnings.",764e9d41d2f03624c2c4dc4be06004c11f9b9ee11cadb9194ee41597a20ff05c
PLTR,polygon,2026-01-03T20:23:00Z,"The Best Artificial Intelligence ETF to Invest $2,000 in Right Now",https://www.fool.com/investing/2026/01/03/best-artificial-intelligence-etf-to-invest-2000/?source=iedfolrf0000001,The Motley Fool,"The article recommends the Global X Artificial Intelligence & Technology ETF (AIQ) as the best way to gain diversified exposure to the AI sector. Unlike other AI ETFs, AIQ uses a balanced weighting methodology that caps individual stocks at 3% maximum exposure, preventing overconcentration in high-performing names and reducing profit-taking risk. The ETF holds 60 AI developers/service providers and 25 hardware companies, rebalancing semiannually.",18628e2a8719c61daeaddc46d71ca47a8860d9b4889c7bc1820fd6db4f8b8b9a
