symbol,provider,published_at,headline,url,summary,source,categories,raw_id
NAAS,stocknewsapi,"Wed, 31 Dec 2025 04:00:00 -0500","NaaS Technology Inc. Completes 21,000-Ton Carbon-Inclusive Credit Transaction with Strategic Partner Kuaidian, Advancing Monetization in Green Mobility",https://www.prnewswire.com/news-releases/naas-technology-inc-completes-21-000-ton-carbon-inclusive-credit-transaction-with-strategic-partner-kuaidian-advancing-monetization-in-green-mobility-302651116.html,"BEIJING, Dec. 31, 2025 /PRNewswire/ -- NaaS Technology Inc. (Nasdaq: NAAS) (""NaaS"" or the ""Company""), the first U.S.-listed EV charging service company in China, today announced that, in collaboration with its strategic partner Kuaidian, it has successfully completed a 21,000-ton carbon-inclusive credit transaction related to electric vehicle (EV) charging scenarios in Wuhan. This achievement builds on the Company's inaugural carbon credit transaction in January 2025, marking a significant breakthrough in the implementation of carbon-inclusion mechanisms within the green transportation sector at a regional level.",PRNewsWire,Article,
VNDA,stocknewsapi,"Tue, 30 Dec 2025 18:30:33 -0500",US FDA approves Vanda Pharmaceuticals' motion sickness drug,https://www.reuters.com/business/healthcare-pharmaceuticals/us-fda-approves-vanda-pharmaceuticals-motion-sickness-drug-2025-12-30/,"Vanda Pharmaceuticals said on Tuesday its drug for the prevention of motion-induced vomiting was approved by the U.S. health regulator, becoming the first treatment for the condition to receive the nod in more than 40 years.",Reuters,Article,
VNDA,stocknewsapi,"Tue, 30 Dec 2025 18:13:00 -0500",Vanda Pharmaceuticals Announces FDA Approval of NEREUS™ (tradipitant) for the Prevention of Vomiting Induced by Motion: A Historic Scientific Milestone in the Prevention of Motion Sickness,https://www.prnewswire.com/news-releases/vanda-pharmaceuticals-announces-fda-approval-of-nereus-tradipitant-for-the-prevention-of-vomiting-induced-by-motion-a-historic-scientific-milestone-in-the-prevention-of-motion-sickness-302650965.html,"WASHINGTON, Dec. 30, 2025 /PRNewswire/ -- Vanda Pharmaceuticals Inc. (Vanda) (Nasdaq: VNDA) today announced that the U.S. Food and Drug Administration (FDA) has approved NEREUS™ (tradipitant), an oral neurokinin-1 (NK-1) receptor antagonist, for the prevention of vomiting induced by motion. This approval marks the first new pharmacologic treatment in motion sickness in over four decades, representing a significant advancement in the understanding and management of this debilitating physiologic response that affects a substantial portion of the population and has long been recognized as a factor affecting military operational readiness.",PRNewsWire,Article,
ANGH,stocknewsapi,"Tue, 30 Dec 2025 17:14:00 -0500",ANGHAMI REPORTS H1 2025 FINANCIAL RESULTS; MARKED BY TOPLINE GROWTH AND TRANSFORMATIVE DEAL WITH WARNER BROS. DISCOVERY,https://www.prnewswire.com/news-releases/anghami-reports-h1-2025-financial-results-marked-by-topline-growth-and-transformative-deal-with-warner-bros-discovery-302650948.html,"ABU DHABI, UAE, Dec. 30, 2025 /PRNewswire/ -- Anghami Inc. (NASDAQ: ANGH) (""Anghami""), the leading music and entertainment streaming platform in the MENA region, today announced its results for the six-month period ended 30 June 2025, underscoring the benefits of the OSN+ integration and the impact of its transformative partnership with Warner Bros. Discovery.",PRNewsWire,Article,
ORIS,stocknewsapi,"Tue, 30 Dec 2025 16:15:00 -0500",Oriental Rise Holding Limited Signs Non-Binding Letter of Intent to Acquire Hubei Daguan Tea Industry Group,https://www.globenewswire.com/news-release/2025/12/30/3211607/0/en/Oriental-Rise-Holding-Limited-Signs-Non-Binding-Letter-of-Intent-to-Acquire-Hubei-Daguan-Tea-Industry-Group.html,"Proposed Transaction Expected to Enhance Upstream Supply Control, Improve Product Mix, and Further Advance Vertical Integration Strategy",GlobeNewsWire,Article,
STAA,stocknewsapi,"Tue, 30 Dec 2025 13:12:00 -0500",New $17 Million Bet on STAAR Surgical Comes as Sales Jump 7% and Margins Hit 82%,https://www.fool.com/coverage/filings/2025/12/30/slotnik-capital-loads-up-staa-with-635k-shares/,"Dallas-based Slotnik Capital acquired 635,000 shares of STAAR Surgical, adding an estimated $17.06 million position. The transaction resulted in a position representing 5.33% of Slotnik Capital's 13F AUM.",The Motley Fool,Article,
ZSL,stocknewsapi,"Tue, 30 Dec 2025 10:30:32 -0500",ZSL: Why Silver Is Running And What Levels To Short At,https://seekingalpha.com/article/4856401-zsl-why-silver-is-running-and-what-levels-to-short-at,"ProShares UltraShort Silver ETF (ZSL) offers a 2x leveraged short position on silver, bypassing futures margin constraints amid extreme silver volatility. Recent CME margin hikes triggered liquidations and sharp price moves; ZSL enables tactical shorting, but carries significant risk. Structural shifts like US banks going net long silver, Chinese export controls, and industrial demand cliffs, create both bullish and bearish trading opportunities.",Seeking Alpha,Article,
PAVM,stocknewsapi,"Tue, 30 Dec 2025 09:01:00 -0500",PAVmed Announces Reverse Stock Split,https://www.prnewswire.com/news-releases/pavmed-announces-reverse-stock-split-302650410.html,"NEW YORK, Dec. 30, 2025 /PRNewswire/ --  PAVmed Inc.  (NASDAQ: PAVM) (""PAVmed"" or the ""Company""), a diversified commercial-stage medical technology company, operating in the medical device, diagnostics, and digital health sectors, today announced it will conduct a 1-for-30 reverse stock split of its common stock (the ""Common Stock""). The reverse stock split will become effective on January 2, 2026, at 12:01 a.m.",PRNewsWire,Article,
NVVE,stocknewsapi,"Tue, 30 Dec 2025 09:00:00 -0500",Kit Carson Electric Cooperative Selects Nuvve New Mexico for Battery-as-a-Service Projects,https://www.businesswire.com/news/home/20251230056009/en/Kit-Carson-Electric-Cooperative-Selects-Nuvve-New-Mexico-for-Battery-as-a-Service-Projects/,"TAOS, N.M.--(BUSINESS WIRE)---- $NVVE #Agreement--Kit Carson Electric Cooperative, Inc. (KCEC) has selected Nuvve New Mexico, LLC, a subsidiary of Nuvve Holding Corp. (Nasdaq: NVVE), to deploy and operate advanced battery energy storage systems under a Battery-as-a-Service (BAAS) model at two separate locations in northern New Mexico. Under the terms outlined in a recently executed term sheet, Nuvve New Mexico will develop two 5-megawatt / 20-megawatt-hour (4-hour) battery systems designed to provide peak load miti.",Business Wire,Article,
CAPT,stocknewsapi,"Tue, 30 Dec 2025 08:00:00 -0500",Captivision Engages Firm to Validate Proven Mining Reserves Ahead of Planned Acquisition,https://www.globenewswire.com/news-release/2025/12/30/3211335/0/en/Captivision-Engages-Firm-to-Validate-Proven-Mining-Reserves-Ahead-of-Planned-Acquisition.html,Colorado-based Company to Reaffirm Gold and Precious Metals Resources Colorado-based Company to Reaffirm Gold and Precious Metals Resources,GlobeNewsWire,Article,
