symbol,headline,summary,source,url,published_at,is_catalyst,name,country,exchange,currency,ipo,share_outstanding,float_shares,market_cap
JVA,"FOMC Minutes, Jobless Claims Report In Focus As 2025 Winds Down","Stay ahead with Wall Street Week Aheadâget key market events, upcoming earnings, economic data releases, and stock insights for the week.",Finnhub,https://finnhub.io/api/news?id=e6ea60a77188b88a0825deddd75c9440618cc5f4d27aae2368aae0b91f8ab2b8,2025-12-27T03:00:00,0,"Coffee Holding Co., Inc.",United States,NCM,USD,,5708599.0,4601702.0,23519432.0
TAYD,"FOMC Minutes, Jobless Claims Report In Focus As 2025 Winds Down","Stay ahead with Wall Street Week Aheadâget key market events, upcoming earnings, economic data releases, and stock insights for the week.",Finnhub,https://finnhub.io/api/news?id=e6ea60a77188b88a0825deddd75c9440618cc5f4d27aae2368aae0b91f8ab2b8,2025-12-27T03:00:00,0,"Taylor Devices, Inc.",United States,NCM,USD,,3147497.0,3065819.0,193130416.0
TTSH,"FOMC Minutes, Jobless Claims Report In Focus As 2025 Winds Down","Stay ahead with Wall Street Week Aheadâget key market events, upcoming earnings, economic data releases, and stock insights for the week.",Finnhub,https://finnhub.io/api/news?id=e6ea60a77188b88a0825deddd75c9440618cc5f4d27aae2368aae0b91f8ab2b8,2025-12-27T03:00:00,0,"Tile Shop Holdings, Inc.",United States,NCM,USD,,44715001.0,4393.0,164722080.0
SMC,Hess Midstream: No Adjusted EBITDA Growth,"Hess Midstream faces flat 2026 EBITDA, Chevron cuts boosting cash flow, single customer risk, limited upside, and downside risk. Read why HESS stock is a sell.",Finnhub,https://finnhub.io/api/news?id=f123def3180e8506e694640704eebb5c3c862b2006265e13ca508e75252d1821,2025-12-26T23:38:57,0,Summit Midstream Corporation,United States,NYQ,USD,,12261954.0,2639753.0,328497760.0
CFFI,"Dividend Champion, Contender, And Challenger Highlights: Week Of December 28",,Finnhub,https://finnhub.io/api/news?id=d4724f0fa303d96a75b34c3a6c40f48d4c52d155ed6ff3969dd66b9b7071e8e9,2025-12-26T15:16:10,0,C&F Financial Corporation,United States,NMS,USD,,3238232.0,3017320.0,230567024.0
DDS,"Dividend Champion, Contender, And Challenger Highlights: Week Of December 28",,Finnhub,https://finnhub.io/api/news?id=d4724f0fa303d96a75b34c3a6c40f48d4c52d155ed6ff3969dd66b9b7071e8e9,2025-12-26T15:16:10,0,"Dillard's, Inc.",United States,NYQ,USD,,11626733.0,7316704.0,9837417472.0
ISTR,"Dividend Champion, Contender, And Challenger Highlights: Week Of December 28",,Finnhub,https://finnhub.io/api/news?id=d4724f0fa303d96a75b34c3a6c40f48d4c52d155ed6ff3969dd66b9b7071e8e9,2025-12-26T15:16:10,0,Investar Holding Corporation,United States,NGM,USD,,9810435.0,9139990.0,267951856.0
NEU,"Dividend Champion, Contender, And Challenger Highlights: Week Of December 28",,Finnhub,https://finnhub.io/api/news?id=d4724f0fa303d96a75b34c3a6c40f48d4c52d155ed6ff3969dd66b9b7071e8e9,2025-12-26T15:16:10,0,NewMarket Corporation,United States,NYQ,USD,,9397122.0,7831561.0,6663875072.0
RICK,"Dividend Champion, Contender, And Challenger Highlights: Week Of December 28",,Finnhub,https://finnhub.io/api/news?id=d4724f0fa303d96a75b34c3a6c40f48d4c52d155ed6ff3969dd66b9b7071e8e9,2025-12-26T15:16:10,0,"RCI Hospitality Holdings, Inc.",United States,NGM,USD,,8684061.0,7161330.0,203361152.0
WOK,BC-Most Active Stocks,"YY Group Holdings Ltd. 45,999,120 0.2354",Finnhub,https://finnhub.io/api/news?id=1a92408d241e18375eb78b69af747e305f4aa4c88f8b7a7ed86fa861bfa843ba,2025-12-26T07:30:16,0,WORK Medical Technology Group LTD,China,NCM,USD,,960012.0,128312.0,30576.0
